S.NO,GENE SYMBOL,GENE NAME,PMID,GENE DESC,No_Of_Q,Q1,SCORE_IF_YES_1,SCORE_IF_NO_1,P-Value,Q2,SCORE_IF_YES_2,SCORE_IF_NO_2,P-value,Q3,SCORE_IF_YES_3,SCORE_IF_NO_3,MAX_SCORE,GRADE,DOF,ALLOT
1,APOE,Apolipoprotein E,11910554,The APOE gene is mapped to chromosome 19 in a cluster with APOC1 and APOC2. Studies have concluded that epsilon4 allele of the APOE gene is a potential risk factor for the severity of retinal hard exudates and visual loss in type 2 diabetic Mexican patients. The higher frequency of visual impairment in epsilon-4 carriers makes it a significant indicator for diagnosing Diabetic Retinopathy.,2,Are you a carrier of epsilon-4allele for this gene?       ,0.5,0,0.001,Do you belong to the Mexican population?,0.5,0,0.001,,,,1,2,2,
2,ALDH2,Aldehyde dehydrogenase 2 family,24028448,  Aldehyde dehydrogenase is the second enzyme of the major oxidative pathway of alcohol metabolism. Mitochondrial aldehyde dehydrogenase 2 (ALDH2) detoxifies reactive aldehydes in the micro- and macrovasculature. Studies and evidences indicate that The ALDH2*2 allele carriers had a significantly higher incidence of DR than the non-carriers. The incidence of DR was significantly higher in the drinkers with the ALDH2*2 allele than in those with the ALDH2*1/*1 genotype.,3,Are you a carrier of ALDH2*2 allele?,1,0,0.02,Do you belong to the Japanese population?,1,0,0.02,Are you regular drinker/consumer of alcohol?,1,0,3,3,2,
3,API5,Apoptosis Inhibitor 5,25819896,This gene encodes an apoptosis inhibitory protein whose expression prevents apoptosis after growth factor deprivation. Studies have identified several single-nucleotide polymorphisms (SNPs) in this gene with modest effects on diabetic retinopathy. It was determined that rs899036 near API5 is associated with severe diabetic retinopathy.,2, Is rs899036 present near API5 as examined?,1,0,0.0005,Do you belong to the Chinese population?,1,0,0.0005,,,,2,2,1,
4,ADM, adrenomedullin,17557032,"The protein encoded by this gene is a preprohormone which is cleaved to form two biologically active peptides, one of which is adrenomedullin (AM). Evidences suggest that Type 2 diabetic patients with retinopathy have significantly greater AM levels than those without DR or not suffering from T2DM. Research findings indicate that circulating AM is increased in type 2 diabetic patients and that increase correlates with poor glucose metabolic control and presence of retinopathy.",1,Have AM levels reported to be significantly greater greater than normal?,1,0,P<0.001,,,,,,,,1,1,1,
5,AKR1B1,"Aldo-keto reductase family 1, member B1 (aldose reductase)",19587357,"This gene encodes a member of the aldo/keto reductase superfamily, which catalyzes the reduction of the aldehyde form of glucose, and is thereby implicated in the development of diabetic complications by catalyzing the reduction of glucose to sorbitol. Variations within the AKR1B1 gene are highly significantly associated with diabetic retinopathy development irrespective of ethnicity. The aldose reductase (AKR1B1) gene was found to have the largest number of polymorphisms significantly associated with diabetic retinopathy. The z-2 microsatellite was found to confer risk in type 2 diabetes and z+2 to confer protection.",2,Is z-2 microsatellite present for this particular gene? ,1,0,0.0002,Is z+2 microsatellite present for this particular gene?,-1,0,0.02,,,,1,1,2,
6,ARHGAP22,Rho GTPase activating protein 22,28544509,"This gene encodes a member of the GTPase activating protein family, and the encoded protein is insulin-responsive. Research conducted on Han Chinese Population indicated that two susceptibility SNPs in ARHGAP22 were found to be associated with an increased risk of DR-rs10491034 and rs3844492.",2,Are these SNP's in ARHGAP22 reported - rs10491034 or rs3844492?,0.5,0,0.032,Do you belong to the Han Chinese population?,0.5,0,0.032,,,,1,3,1,
7,C5,complement component 5,26934706,"This gene encodes a component of the complement system, a part of the inte immune system that plays an important role in inflammation, host homeostasis, and host defence against pathogens. The association of C5 SNPs with proliferative diabetic retinopathy (PDR) of type 2 diabetes (T2D) was investigated, and it was reported that C5 rs2269067 GG genotype confers risk for PDR of T2D in Chinese Han population and is associated with an elevated C5 mRNA expression and an increased IL-6 production.",2,Are you a carrier of C5 rs2269067 GG genotype?,0.5,0,0.00034,Do you belong to the Han Chinese population?,0.5,0,0.00034,,,,1,1,2,
8,CDKAL1,CDK5 regulatory subunit associated protein 1-like 1,28821857,"The protein encoded by this gene is a member of the methylthiotransferase family. Studies concluded that rs7756992 was one of the most commonly reported SNPs in CDKAL1, with the major G allele conferring a higher risk while the minor A allele conferred a lower risk. The study was conducted on Chinese patients.",2,Are you a carrier of the major G allele for CDKAL1 rs7756992?,0.5,0,0.000247,Do you belong to the Chinese population?,0.5,0,0.000247,,,,1,1,2,
9,CHN2,chimerin 2,21911749,"This gene encodes a guanosine triphosphate (GTP)-metabolizing protein, activity of which is important in cell proliferation and migration. Studies aimed at finding association of SNP’s from this gene found CPVL/CHN2 rs39059 genetic variant to be associated with diabetic retinopathy in the Chinese type 2 diabetic patients. The rs39059 G allele was found to be frequent in DR patients, with the frequency being higher in those suffering from severe diabetic retinopathy.",2,Are you a carrier of CHN2 rs39059 variant? ,0.5,0,0.0022,Do you belong to the Chinese population?,0.5,0,0.0022,,,,1,2,1,
10,CNR1,canbinoid receptor 1,24075694,"This gene encodes one of two canbinoid receptors, found to be involved in the canbinoid-induced CNS effects (including alterations in mood and cognition). Studies on association of polymorphism in CNR1 gene in type 2 diabetes and its complications revealed that The A allele carrier genotype was present in 50% of patients with DR versus 35% of no DR patients. Hence the presence of A allele for this genetic polymorphism can prove to be a significant indicator for Diabetic Retinopathy.",1,Are you carrier of the A allele for CNR1 G1359A polymorphism?,1,0,0.0005,,,,,,,,1,1,3,
